"","ID","Y","T","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10"
"100",6,0,0,0,0,0,0,0,0,0,0,0,0
"101",6,0,1,0,0,0,0,0,0,0,0,0,0
"102",6,0,2,0,0,0,0,0,0,0,0,0,0
"103",6,0,3,0,0,0,0,0,0,0,0,0,0
"104",6,0,4,0,0,0,0,0,0,0,0,0,0
"105",6,0,5,0,0,0,0,0,0,0,0,0,0
"106",6,0,6,0,0,0,0,0,0,0,0,0,0
"107",6,0,7,0,0,0,0,0,0,0,0,0,0
"108",6,0,8,0,0,0,0,0,0,0,0,0,0
"109",6,1,9,13,5,6,7,7,10,11,18,4,4
"110",6,1,10,8,4,3,4,7,12,14,11,2,4
"111",6,1,11,3,0,4,2,3,6,6,3,4,2
"112",6,1,12,0,3,2,0,3,2,10,7,2,4
"113",6,1,13,2,1,0,1,1,1,2,2,0,0
"114",6,1,14,1,1,1,2,0,0,4,2,0,1
"115",6,1,15,4,1,2,4,3,5,4,8,4,2
"116",6,1,16,3,0,4,1,2,9,9,9,4,1
"117",6,1,17,7,0,5,2,1,2,4,7,1,0
"118",6,1,18,0,0,0,0,0,0,0,0,0,0

